rule,area,severity,scope,evidence
R10,on-page,medium,"docs/ARCHITECTURE.md","28 chars: System Architecture: jev-seo"
R11,on-page,high,"docs/ARCHITECTURE.md","no description"
R26,links,low,"docs/ARCHITECTURE.md","no outbound links"
R31,structured,medium,"docs/ARCHITECTURE.md","no JSON-LD"
R36,structured,low,"docs/ARCHITECTURE.md","no canonical"
R35,structured,low,"docs/ARCHITECTURE.md","no Open Graph tags"
R11,on-page,high,"docs/DESIGN.md","no description"
R18,content,medium,"docs/DESIGN.md","170 words"
R26,links,low,"docs/DESIGN.md","no outbound links"
R31,structured,medium,"docs/DESIGN.md","no JSON-LD"
R36,structured,low,"docs/DESIGN.md","no canonical"
R35,structured,low,"docs/DESIGN.md","no Open Graph tags"
R11,on-page,high,"docs/EVAL.md","no description"
R26,links,low,"docs/EVAL.md","no outbound links"
R31,structured,medium,"docs/EVAL.md","no JSON-LD"
R36,structured,low,"docs/EVAL.md","no canonical"
R35,structured,low,"docs/EVAL.md","no Open Graph tags"
R10,on-page,medium,"docs/HANDOFF.md","26 chars: Developer Handoff: jev-seo"
R11,on-page,high,"docs/HANDOFF.md","no description"
R18,content,medium,"docs/HANDOFF.md","177 words"
R26,links,low,"docs/HANDOFF.md","no outbound links"
R31,structured,medium,"docs/HANDOFF.md","no JSON-LD"
R36,structured,low,"docs/HANDOFF.md","no canonical"
R35,structured,low,"docs/HANDOFF.md","no Open Graph tags"
R26,links,low,"docs/PRD.md","no outbound links"
R31,structured,medium,"docs/PRD.md","no JSON-LD"
R36,structured,low,"docs/PRD.md","no canonical"
R35,structured,low,"docs/PRD.md","no Open Graph tags"
R25,links,medium,"docs/ARCHITECTURE.md","0 inbound links"
R25,links,medium,"docs/DESIGN.md","0 inbound links"
R25,links,medium,"docs/EVAL.md","0 inbound links"
R25,links,medium,"docs/HANDOFF.md","0 inbound links"
R25,links,medium,"docs/PRD.md","0 inbound links"
